State,Sport,Team
Arizona,Basketball,Phoenix Suns
Arizona,Football,Arizona Cardinals
California,Basketball,Golden State Warriors
California,Basketball,Los Angeles Clippers
California,Basketball,Los Angeles Lakers
California,Basketball,Sacramento Kings
California,Football,Los Angeles Rams
California,Football,Los Angeles Chargers
California,Football,San Francisco 49ers
Colorado,Basketball,Denver Nuggets
Colorado,Football,Denver Broncos
Florida,Basketball,Miami Heat
Florida,Basketball,Orlando Magic
Florida,Football,Jacksonville Jaguars
Florida,Football,Miami Dolphins
Florida,Football,Tampa Bay Buccaneers
Georgia,Basketball,Atlanta Hawks
Georgia,Football,Atlanta Falcons
Illinois,Basketball,Chicago Bulls
Illinois,Football,Chicago Bears
Indiana,Basketball,Indiana Pacers
Indiana,Football,Indianapolis Colts
Louisiana,Basketball,New Orleans Pelicans
Louisiana,Football,New Orleans Saints
Maryland,Football,Baltimore Ravens
Maryland,Football,Washington Football Team
Massachusetts,Basketball,Boston Celtics
Massachusetts,Football,New England Patriots
Michigan,Basketball,Detroit Pistons
Michigan,Football,Detroit Lions
Minnesota,Basketball,Minnesota Timberwolves
Minnesota,Football,Minnesota Vikings
Missouri,Football,Kansas City Chiefs
Nevada,Football,Las Vegas Raiders
New Jersey,Football,New York Giants
New Jersey,Football,New York Jets
New York,Basketball,Brooklyn Nets
New York,Basketball,New York Knicks
New York,Football,Buffalo Bills
North Carolina,Basketball,Charlotte Hornets
North Carolina,Football,Carolina Panthers
Ohio,Basketball,Cleveland Cavaliers
Ohio,Football,Cincinnati Bengals
Ohio,Football,Cleveland Browns
Oklahoma,Basketball,Oklahoma City Thunder
Oregon,Basketball,Portland Trail Blazers
Pennsylvania,Basketball,Philadelphia 76ers
Pennsylvania,Football,Philadelphia Eagles
Pennsylvania,Football,Pittsburgh Steelers
Tennessee,Basketball,Memphis Grizzlies
Tennessee,Football,Tennessee Titans
Texas,Basketball,Dallas Mavericks
Texas,Basketball,Houston Rockets
Texas,Basketball,San Antonio Spurs
Texas,Football,Dallas Cowboys
Texas,Football,Houston Texans
Utah,Basketball,Utah Jazz
Washington,Football,Seattle Seahawks
Wisconsin,Basketball,Milwaukee Bucks
Wisconsin,Football,Green Bay Packers
